Seq_No,School_Webpage,School_Name,School_type,Domain,Grade_Min,Grade_Max,Solution_or_School,solution_type
1,https://www.carnegielearning.com/solutions/math/middle-school-math-solution/,Carnegie Learning,middle,Math,6,8,MATHia,ITS
2,https://www.carnegielearning.com/solutions/math/high-school-math-solution/,Carnegie Learning,high,Math,9,12,MATHia,ITS
3,https://discover.carnegielearning.com/MATHiaFlex.html,Carnegie Learning,middle,Math,6,8,MATHiaFlex,ITS
4,https://discover.carnegielearning.com/MATHiaFlex.html,Carnegie Learning,high,Math,9,12,MATHiaFlex,ITS
5,https://www.dreambox.com/k-8-math-lessons,DreamBox,elementary,Math,K,5,DreamBox,ITS
6,https://www.dreambox.com/k-8-math-lessons,DreamBox,middle,Math,6,8,DreamBox,ITS
7,https://www.squigglepark.com/,Squiggle Park,elementary,Reading,K,2,DreamBox,ITS
8,https://www.readingplus.com/,Reading Plus,elementary,Reading,3,5,InSight,ALP
9,https://www.readingplus.com/,Reading Plus,middle,Reading,6,8,InSight,ALP
10,https://www.readingplus.com/,Reading Plus,high,Reading,9,12,InSight,ALP
11,https://new.assistments.org/,ASSISTments,elementary,Math,1,5,ASSISTments,ITS
12,https://new.assistments.org/,ASSISTments,middle,Math,6,8,ASSISTments,ITS
13,https://new.assistments.org/,ASSISTments,high,Math,9,12,ASSISTments,ITS
14,https://www.ixl.com/math,IXL,PreK,Math,PreK,PreK,IXL,ITS
15,https://www.ixl.com/math,IXL,elementary,Math,K,5,IXL,ITS
16,https://www.ixl.com/math,IXL,middle,Math,6,8,IXL,ITS
17,https://www.ixl.com/math,IXL,high,Math,9,12,IXL,ITS
18,https://www.ixl.com/science,IXL,elementary,Science,K,5,IXL,ITS
19,https://www.ixl.com/science,IXL,middle,Science,6,8,IXL,ITS
20,https://www.ixl.com/science,IXL,high,Science,9,12,IXL,ITS
21,https://www.ixl.com/ela,IXL,PreK,Language Arts,PreK,PreK,IXL,ITS
22,https://www.ixl.com/ela,IXL,elementary,Language Arts,K,5,IXL,ITS
23,https://www.ixl.com/ela,IXL,middle,Language Arts,6,8,IXL,ITS
24,https://www.ixl.com/ela,IXL,high,Language Arts,9,12,IXL,ITS
