Seq_No,State_Jurisdiction,Local_District,Organization,Link,Grade_Range,Type,Tag,Tag2,GIAPII_Rating
1,Oregon,Beaverton School Districts,Westview High School,https://westview.beaverton.k12.or.us/academics/academic-information ,High School,Charter Scool,Graduation Requirement,,8
2,Oregon,Beaverton School Districts,Westview High School,https://westview.beaverton.k12.or.us/academics/academic-information ,High School,Charter Scool,Education Plan,,8
3,Oregon,Beaverton School Districts,Westview High School,https://westview.beaverton.k12.or.us/academics/academic-information ,High School,Charter Scool,Education Profile,,8
4,Oregon,Beaverton School Districts,Westview High School,https://westview.beaverton.k12.or.us/academics/academic-information ,High School,Charter Scool,Subject by Grade,,8
5,National,National,Hanover Research,https://www.hanoverresearch.com/reports-and-briefs/k-12-program-evaluations-guide/?utm_term=class%20curriculum&utm_campaign=k12-program-evaluation&utm_source=adwords&utm_medium=paid-search&hsa_acc=3558395466&hsa_cam=6615022065&hsa_grp=84506197648&hsa_ad=386237133759&hsa_src=g&hsa_tgt=kwd-300171088243&hsa_kw=class%20curriculum&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gclid=EAIaIQobChMI2a7lv_3p-AIV7f_jBx0IugROEAAYAiAAEgIfvPD_BwE ,Elementary School,Charter Scool,Program Evaluation,,5
6,National,National,Hanover Research,https://insights.hanoverresearch.com/hubfs/Step-by-Step-Guide-to-Program-Evaluation-updated.pdf ,Middle School,Charter Scool,Program Evaluation,,5
7,National,National,Hanover Research,https://insights.hanoverresearch.com/hubfs/Step-by-Step-Guide-to-Program-Evaluation-updated.pdf ,High School,Charter Scool,Program Evaluation,,5
8,Georgia,Greene County,Lake Oconee Academy,https://www.lakeoconeeacademy.org/planning-guide-course-description ,High School,Charter Scool,Graduation Requirement,Credit Hours,8
9,Georgia,Greene County,Lake Oconee Academy,https://www.lakeoconeeacademy.org/planning-guide-course-description ,High School,Charter Scool,Community Service Requirement,,8
10,Georgia,Greene County,Lake Oconee Academy,https://www.lakeoconeeacademy.org/planning-guide-course-description ,High School,Charter Scool,Minimum Grade Requirement,,8
11,Georgia,Greene County,Lake Oconee Academy,https://www.lakeoconeeacademy.org/planning-guide-course-description ,High School,Charter Scool,Extracurricular Activities,,8
12,Georgia,Greene County,Lake Oconee Academy,https://www.lakeoconeeacademy.org/planning-guide-course-description ,High School,Charter Scool,Course Catalog,,8
13,Georgia,Greene County,Lake Oconee Academy,https://www.lakeoconeeacademy.org/advanced-placement-planning-guide,High School,Charter Scool,Advanced Placement,,8
14,Georgia,Greene County,Lake Oconee Academy,https://www.lakeoconeeacademy.org/planning-guide-course-description ,High School,Charter Scool,Assessment,,8
15,National,National,Two Roads Charter School,https://tworoads.jeffcopublicschools.org/enrollment/academic_planning ,Middle School,Charter Scool,Subject by Grade,,7
16,National,National,Two Roads Charter School,https://tworoads.jeffcopublicschools.org/enrollment/academic_planning ,Middle School,Charter Scool,Graduation Requirement,,7
17,Colorado,Littleton,Two Roads Charter School,https://tworoads.jeffcopublicschools.org/enrollment/course_catalog/littleton_elementary_course_catalog,Elementary School,Charter Scool,Course Descriptions,Credit Hours,7
18,Colorado,Littleton,Two Roads Charter School,https://tworoads.jeffcopublicschools.org/enrollment/course_catalog/littleton_elementary_course_catalog,Middle School,Charter Scool,Course Descriptions,,7
19,National,National,Two Roads Charter School,https://tworoads.jeffcopublicschools.org/enrollment/course_catalog/middle_school_course_catalog,Middle School,Charter Scool,Course Descriptions,Credit Hours,7
20,National,National,Two Roads Charter School,https://tworoads.jeffcopublicschools.org/enrollment/course_catalog/middle_school_course_catalog,Middle School,Charter Scool,Course Offerings,,7
21,National,National,Two Roads Charter School,https://tworoads.jeffcopublicschools.org/enrollment/course_catalog/high_school_course_catalog,High School,Charter Scool,Course Descriptions,Credit Hours,7
22,National,National,Two Roads Charter School,https://tworoads.jeffcopublicschools.org/enrollment/course_catalog/high_school_course_catalog,High School,Charter Scool,Course Offerings,,7
23,California,Riverside County,Pacific View Charter School,https://pacificview.org/academic-planning/ ,High School,Charter Scool,Graduation Requirement,Credit Hours,6
24,California,San Diego County,Pacific View Charter School,https://pacificview.org/academic-planning/ ,High School,Charter Scool,Graduation Requirement,Credit Hours,6
25,California,Inland Empire Cities,Pacific View Charter School,https://pacificview.org/academic-planning/ ,High School,Charter Scool,Graduation Requirement,Credit Hours,6
26,California,Orange County,Pacific View Charter School,https://pacificview.org/academic-planning/ ,High School,Charter Scool,Graduation Requirement,Credit Hours,6
27,California,Imperial County,Pacific View Charter School,https://pacificview.org/academic-planning/ ,High School,Charter Scool,Graduation Requirement,Credit Hours,6
28,California,Temecula,Springs Charter School,https://springscs.org/current-students-parents/counseling-support/high-school-guidance/academic-advisement ,High School,Charter Scool,Graduation Requirement,Credit Hours,9
29,California,Temecula,Springs Charter School,https://springscs.org/current-students-parents/counseling-support/high-school-guidance/pop-high-school-course-catalog,High School,Charter Scool,Personalized Options Program,,9
30,California,Temecula,Springs Charter School,https://springscs.org/current-students-parents/counseling-support/high-school-guidance/pop-high-school-course-catalog,High School,Charter Scool,Career Internship,,9
31,California,Temecula,Springs Charter School,https://springscs.org/current-students-parents/counseling-support/high-school-guidance/pop-high-school-course-catalog,High School,Charter Scool,Career and Technical Education,CTE,9
32,Texas,Town of Westlake,Westlake Academy,https://www.westlakeacademy.org/apps/pages/index.jsp?uREC_ID=379093&type=d&pREC_ID=2293811,Middle School,Charter Scool,Course Descriptions,Credit Hours,6
33,Texas,Town of Westlake,Westlake Academy,https://www.westlakeacademy.org/apps/pages/index.jsp?uREC_ID=379093&type=d&pREC_ID=2293811,Middle School,Charter Scool,Course Offerings,,6
34,Texas,Town of Westlake,Westlake Academy,https://www.westlakeacademy.org/apps/pages/index.jsp?uREC_ID=379093&type=d&pREC_ID=2293811,Middle School,Charter Scool,Middle Years Programme,MYP,6
35,Texas,Town of Westlake,Westlake Academy,https://www.westlakeacademy.org/apps/pages/index.jsp?uREC_ID=379093&type=d&pREC_ID=2293811,Middle School,Charter Scool,Texas Essential Knowledge and Skills,TEKS,6
36,Texas,Town of Westlake,Westlake Academy,https://www.westlakeacademy.org/apps/pages/index.jsp?uREC_ID=379093&type=d&pREC_ID=2293811,High School,Charter Scool,Course Descriptions,Credit Hours,6
37,Texas,Town of Westlake,Westlake Academy,https://www.westlakeacademy.org/apps/pages/index.jsp?uREC_ID=379093&type=d&pREC_ID=2293811,High School,Charter Scool,Course Offerings,,6
38,Texas,Town of Westlake,Westlake Academy,https://www.westlakeacademy.org/apps/pages/index.jsp?uREC_ID=379093&type=d&pREC_ID=2293811,High School,Charter Scool,Texas Essential Knowledge and Skills,TEKS,6
39,Texas,Town of Westlake,Westlake Academy,https://www.westlakeacademy.org/apps/pages/index.jsp?uREC_ID=379093&type=d&pREC_ID=2293811,High School,Charter Scool,Diploma Programme,,6
40,Texas,Town of Westlake,Westlake Academy,https://www.westlakeacademy.org/apps/pages/index.jsp?uREC_ID=379093&type=d&pREC_ID=2293811,High School,Charter Scool,International Baccalaureate,IB,6
41,Oklahoma,Oklahoma City,Oklahoma City Public School,https://www.okcps.org/apg ,Middle School,Public School,Course Descriptions,,8
42,Oklahoma,Oklahoma City,Oklahoma City Public School,https://www.okcps.org/apg ,Middle School,Public School,Advanced Placement,AP,8
43,Oklahoma,Oklahoma City,Oklahoma City Public School,https://www.okcps.org/apg ,Middle School,Public School,Career and Technical Education,CTE,8
44,Oklahoma,Oklahoma City,Oklahoma City Public School,https://www.okcps.org/apg ,High School,Public School,International Baccalaureate,IB,9
45,Oklahoma,Oklahoma City,Oklahoma City Public School,https://www.okcps.org/apg ,High School,Public School,Diploma Program,,9
46,Oklahoma,Oklahoma City,Oklahoma City Public School,https://www.okcps.org/apg ,High School,Public School,Junior Reserve Officer Training Corps,JROTC,9
47,Oklahoma,Oklahoma City,Oklahoma City Public School,https://www.okcps.org/apg ,High School,Public School,Advanced Placement,AP,9
48,Oklahoma,Oklahoma City,Oklahoma City Public School,https://www.okcps.org/apg ,High School,Public School,Individual Career Academic Plan,ICAP,9
49,Oklahoma,Oklahoma City,Oklahoma City Public School,https://www.okcps.org/apg ,High School,Public School,Success Checklists,,9
