Seq_No,School_Webpage,School_Name,School_type,Domain,Grade_Min,Grade_Max,Solution_or_School,solution_type,curriculum_type
00001,https://www.carnegielearning.com/solutions/math/middle-school-math-solution/,Carnegie Learning,middle,Math,6,8,MATHia,ITS,Core Curriculum
00002,https://www.carnegielearning.com/solutions/math/high-school-math-solution/,Carnegie Learning,high,Math,9,12,MATHia,ITS,Core Curriculum
00003,https://discover.carnegielearning.com/MATHiaFlex.html,Carnegie Learning,middle,Math,6,8,MATHiaFlex,ITS,Complementary to Core Curriculum
00004,https://discover.carnegielearning.com/MATHiaFlex.html,Carnegie Learning,high,Math,9,12,MATHiaFlex,ITS,Complementary to Core Curriculum
00005,https://www.dreambox.com/k-8-math-lessons,DreamBox,elementary,Math,K,5,DreamBox,ITS,Complementary to Core Curriculum
00006,https://www.dreambox.com/k-8-math-lessons,DreamBox,middle,Math,6,8,DreamBox,ITS,Complementary to Core Curriculum
00007,https://www.squigglepark.com/,Squiggle Park,elementary,Reading,K,2,DreamBox,ITS,Complementary to Core Curriculum
00008,https://www.readingplus.com/,Reading Plus,elementary,Reading,3,5,InSight,ALP,Complementary to Core Curriculum
00009,https://www.readingplus.com/,Reading Plus,middle,Reading,6,8,InSight,ALP,Complementary to Core Curriculum
00010,https://www.readingplus.com/,Reading Plus,high,Reading,9,12,InSight,ALP,Complementary to Core Curriculum
00011,https://new.assistments.org/,ASSISTments,elementary,Math,1,5,ASSISTments,ITS,Complementary to Core Curriculum
00012,https://new.assistments.org/,ASSISTments,middle,Math,6,8,ASSISTments,ITS,Complementary to Core Curriculum
00013,https://new.assistments.org/,ASSISTments,high,Math,9,12,ASSISTments,ITS,Complementary to Core Curriculum
00014,https://www.ixl.com/math,IXL,PreK,Math,PreK,PreK,IXL,ITS,Core Curriculum
00015,https://www.ixl.com/math,IXL,elementary,Math,K,5,IXL,ITS,Core Curriculum
00016,https://www.ixl.com/math,IXL,middle,Math,6,8,IXL,ITS,Core Curriculum
00017,https://www.ixl.com/math,IXL,high,Math,9,12,IXL,ITS,Core Curriculum
00018,https://www.ixl.com/science,IXL,elementary,Science,K,5,IXL,ITS,Core Curriculum
00019,https://www.ixl.com/science,IXL,middle,Science,6,8,IXL,ITS,Core Curriculum
00020,https://www.ixl.com/science,IXL,high,Science,9,12,IXL,ITS,Core Curriculum
00021,https://www.ixl.com/ela,IXL,PreK,Language Arts,PreK,PreK,IXL,ITS,Core Curriculum
00022,https://www.ixl.com/ela,IXL,elementary,Language Arts,K,5,IXL,ITS,Core Curriculum
00023,https://www.ixl.com/ela,IXL,middle,Language Arts,6,8,IXL,ITS,Core Curriculum
00024,https://www.ixl.com/ela,IXL,high,Language Arts,9,12,IXL,ITS,Core Curriculum
00025,https://www.ixl.com/spanish,IXL,elementary,Spanish,K,5,IXL,ITS,Core Curriculum
00026,https://www.ixl.com/spanish,IXL,middle,Spanish,6,8,IXL,ITS,Core Curriculum
00027,https://www.ixl.com/spanish,IXL,high,Spanish,12,12,IXL,ITS,Core Curriculum
00028,https://www.ixl.com/social-studies,IXL,PreK,Social Studies,PreK,PreK,IXL,ITS,Core Curriculum
00029,https://www.ixl.com/social-studies,IXL,elementary,Social Studies,K,5,IXL,ITS,Core Curriculum
00030,https://www.ixl.com/social-studies,IXL,middle,Social Studies,6,8,IXL,ITS,Core Curriculum
00031,https://www.ixl.com/social-studies,IXL,high,Social Studies,9,12,IXL,ITS,Core Curriculum
00032,https://www.soapboxlabs.com/early-literacy/,SoapBox,,Reading,,,SoapBox,ITS,Complementary to Core Curriculum
00033,https://www.apexlearning.com/catalog,Apex Learning,middle,Math,6,8,Apex Learning,ITS,Core Curriculum
00034,https://www.apexlearning.com/catalog,Apex Learning,high,Math,6,12,Apex Learning,ITS,Core Curriculum
00035,https://www.apexlearning.com/catalog,Apex Learning,middle,Science,6,8,Apex Learning,ITS,Core Curriculum
00036,https://www.apexlearning.com/catalog,Apex Learning,high,Science,6,12,Apex Learning,ITS,Core Curriculum
00037,https://www.apexlearning.com/catalog,Apex Learning,middle,English,6,8,Apex Learning,ITS,Core Curriculum
00038,https://www.apexlearning.com/catalog,Apex Learning,high,English,6,12,Apex Learning,ITS,Core Curriculum
00039,https://www.apexlearning.com/catalog,Apex Learning,middle,Social Studies,6,8,Apex Learning,ITS,Core Curriculum
00040,https://www.apexlearning.com/catalog,Apex Learning,high,Social Studies,6,12,Apex Learning,ITS,Core Curriculum
00041,https://www.apexlearning.com/catalog,Apex Learning,middle,Spanish,6,8,Apex Learning,ITS,Core Curriculum
00042,https://www.apexlearning.com/catalog,Apex Learning,high,Spanish,6,12,Apex Learning,ITS,Core Curriculum
00043,https://www.apexlearning.com/catalog,Apex Learning,middle,German,6,8,Apex Learning,ITS,Core Curriculum
00044,https://www.apexlearning.com/catalog,Apex Learning,high,German,6,12,Apex Learning,ITS,Core Curriculum
00045,https://www.apexlearning.com/catalog,Apex Learning,middle,Latin,6,8,Apex Learning,ITS,Core Curriculum
00046,https://www.apexlearning.com/catalog,Apex Learning,high,Latin,6,12,Apex Learning,ITS,Core Curriculum
00047,https://www.apexlearning.com/catalog,Apex Learning,middle,Chinese,6,8,Apex Learning,ITS,Core Curriculum
00048,https://www.apexlearning.com/catalog,Apex Learning,high,Chinese,6,12,Apex Learning,ITS,Core Curriculum
00049,https://www.apexlearning.com/catalog,Apex Learning,middle,French,6,8,Apex Learning,ITS,Core Curriculum
00050,https://www.apexlearning.com/catalog,Apex Learning,high,French,6,12,Apex Learning,ITS,Core Curriculum
00051,https://www.knewton.com/courses/,Knewton Adaptive Learning,high,Math,9,12,Alta,ITS,Core Curriculum
00052,https://www.mheducation.com/prek-12/program/microsites/MKTSP-GAB02M0/math.html,McGraw-Hill Education,elementary,Math,3,5,ALEKS,ITS,Core Curriculum
00053,https://www.mheducation.com/prek-12/program/microsites/MKTSP-GAB02M0/math.html,McGraw-Hill Education,middle,Math,3,8,ALEKS,ITS,Core Curriculum
00054,https://www.mheducation.com/prek-12/program/microsites/MKTSP-GAB02M0/math.html,McGraw-Hill Education,high,Math,3,12,ALEKS,ITS,Core Curriculum
00055,https://www.mheducation.com/prek-12/program/microsites/MKTSP-GAB02M0/math.html,McGraw-Hill Education,high,Chemistry,3,12,ALEKS,ITS,Core Curriculum
00056,https://www.mheducation.com/prek-12/program/microsites/MKTSP-RMV20M01.html,McGraw-Hill Education,elementary,Math,3,5,Rise,ALP,Complementary to Core Curriculum
00057,https://www.mheducation.com/prek-12/program/microsites/MKTSP-RMV20M01.html,McGraw-Hill Education,middle,Math,3,8,Rise,ALP,Complementary to Core Curriculum
00058,https://www.mheducation.com/prek-12/program/microsites/MKTSP-RMV20M01.html,McGraw-Hill Education,elementary,ELA,3,5,Rise,ALP,Complementary to Core Curriculum
